danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_playlist,name,artist
0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,audio_features,0XgpiStoxq1IJncYlPrvZ5,spotify:track:0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/tracks/0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/audio-analysis/0XgpiStoxq1IJncYlPrvZ5,296267,4,JAZZ-Y.,Runnin',The Pharcyde
0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,audio_features,1BXastKgdI3AiFipVt69Fv,spotify:track:1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/tracks/1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/audio-analysis/1BXastKgdI3AiFipVt69Fv,279373,4,JAZZ-Y.,Jettin',Digable Planets
0.758,0.845,2,-8.021,1,0.272,0.121,0.0,0.328,0.944,76.882,audio_features,1KcZRMyC2tSs3CMIsng9wx,spotify:track:1KcZRMyC2tSs3CMIsng9wx,https://api.spotify.com/v1/tracks/1KcZRMyC2tSs3CMIsng9wx,https://api.spotify.com/v1/audio-analysis/1KcZRMyC2tSs3CMIsng9wx,321507,4,JAZZ-Y.,Otha Fish,The Pharcyde
0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,audio_features,26q6YTrXt9l8qshIveiTX9,spotify:track:26q6YTrXt9l8qshIveiTX9,https://api.spotify.com/v1/tracks/26q6YTrXt9l8qshIveiTX9,https://api.spotify.com/v1/audio-analysis/26q6YTrXt9l8qshIveiTX9,261267,4,JAZZ-Y.,Rebirth Of Slick (Cool Like Dat),Digable Planets
0.876,0.42,0,-18.246,0,0.279,0.188,0.00186,0.0668,0.706,98.304,audio_features,1962ZwEY7WNQLcmYFn3eR9,spotify:track:1962ZwEY7WNQLcmYFn3eR9,https://api.spotify.com/v1/tracks/1962ZwEY7WNQLcmYFn3eR9,https://api.spotify.com/v1/audio-analysis/1962ZwEY7WNQLcmYFn3eR9,275342,4,JAZZ-Y.,Where I'm From,Digable Planets
0.888,0.574,9,-6.286,1,0.172,0.138,7.16e-05,0.211,0.696,104.716,audio_features,7EhEPcPa60LlvGuG9R1DOx,spotify:track:7EhEPcPa60LlvGuG9R1DOx,https://api.spotify.com/v1/tracks/7EhEPcPa60LlvGuG9R1DOx,https://api.spotify.com/v1/audio-analysis/7EhEPcPa60LlvGuG9R1DOx,282520,4,JAZZ-Y.,Luck of Lucien,A Tribe Called Quest
0.749,0.839,1,-9.173,0,0.231,0.0364,0.0,0.134,0.64,87.587,audio_features,0msneWUDfYKAGrifwEDhtl,spotify:track:0msneWUDfYKAGrifwEDhtl,https://api.spotify.com/v1/tracks/0msneWUDfYKAGrifwEDhtl,https://api.spotify.com/v1/audio-analysis/0msneWUDfYKAGrifwEDhtl,271080,4,JAZZ-Y.,San Francisco Knights,People Under The Stairs
0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,audio_features,4G3dZN9o3o2X4VKwt4CLts,spotify:track:4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/tracks/4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/audio-analysis/4G3dZN9o3o2X4VKwt4CLts,303493,4,JAZZ-Y.,Passin' Me By,The Pharcyde
0.801,0.757,7,-8.01,1,0.316,0.478,1.32e-05,0.163,0.607,88.025,audio_features,6dRj771QZr0KOQVwaB6ykM,spotify:track:6dRj771QZr0KOQVwaB6ykM,https://api.spotify.com/v1/tracks/6dRj771QZr0KOQVwaB6ykM,https://api.spotify.com/v1/audio-analysis/6dRj771QZr0KOQVwaB6ykM,276373,4,JAZZ-Y.,Grown Man Sport,Pete Rock
0.833,0.659,1,-6.12,1,0.284,0.059,7.06e-05,0.594,0.495,93.997,audio_features,2sH8oCfst77XWEyzJgTzhU,spotify:track:2sH8oCfst77XWEyzJgTzhU,https://api.spotify.com/v1/tracks/2sH8oCfst77XWEyzJgTzhU,https://api.spotify.com/v1/audio-analysis/2sH8oCfst77XWEyzJgTzhU,250307,4,JAZZ-Y.,Dynomite,Lone Catalysts
0.767,0.732,10,-4.297,0,0.355,0.149,0.0,0.923,0.843,93.108,audio_features,0uCIPyaPjArUBR1dyGiRfs,spotify:track:0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/tracks/0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/audio-analysis/0uCIPyaPjArUBR1dyGiRfs,253068,4,JAZZ-Y.,2000 Seasons,Talib Kweli
0.836,0.812,2,-6.985,1,0.215,0.188,1.82e-06,0.0982,0.769,92.009,audio_features,7oFiFPltiQTBqVutyiSwvE,spotify:track:7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/tracks/7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/audio-analysis/7oFiFPltiQTBqVutyiSwvE,145707,4,JAZZ-Y.,Figaro,Madvillain
0.773,0.581,8,-8.466,1,0.432,0.0352,0.0,0.485,0.711,94.093,audio_features,2MAaiV0bbeq4FpSwPe2rR8,spotify:track:2MAaiV0bbeq4FpSwPe2rR8,https://api.spotify.com/v1/tracks/2MAaiV0bbeq4FpSwPe2rR8,https://api.spotify.com/v1/audio-analysis/2MAaiV0bbeq4FpSwPe2rR8,203067,4,JAZZ-Y.,Find a Way,A Tribe Called Quest
0.721,0.949,6,-5.685,1,0.278,0.0495,0.0,0.327,0.835,83.028,audio_features,20DcrlNK0NcRknbX4wcEO4,spotify:track:20DcrlNK0NcRknbX4wcEO4,https://api.spotify.com/v1/tracks/20DcrlNK0NcRknbX4wcEO4,https://api.spotify.com/v1/audio-analysis/20DcrlNK0NcRknbX4wcEO4,240093,4,JAZZ-Y.,Luchini AKA This Is It,Camp Lo
0.618,0.711,2,-6.841,1,0.342,0.41,0.0,0.615,0.659,97.337,audio_features,5v9isbe4BHsWc9N25MmWfj,spotify:track:5v9isbe4BHsWc9N25MmWfj,https://api.spotify.com/v1/tracks/5v9isbe4BHsWc9N25MmWfj,https://api.spotify.com/v1/audio-analysis/5v9isbe4BHsWc9N25MmWfj,165693,4,JAZZ-Y.,Whenimondamic,Lootpack
0.619,0.608,5,-5.713,0,0.241,0.579,2.11e-05,0.221,0.633,79.683,audio_features,37HUD7Mr1zOIDW1QuOgaZH,spotify:track:37HUD7Mr1zOIDW1QuOgaZH,https://api.spotify.com/v1/tracks/37HUD7Mr1zOIDW1QuOgaZH,https://api.spotify.com/v1/audio-analysis/37HUD7Mr1zOIDW1QuOgaZH,290280,4,JAZZ-Y.,Nightmares (feat. Bilal & Pharrell Williams),Clipse
0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,audio_features,7G3lxTsMfSx4yarMkfgnTC,spotify:track:7G3lxTsMfSx4yarMkfgnTC,https://api.spotify.com/v1/tracks/7G3lxTsMfSx4yarMkfgnTC,https://api.spotify.com/v1/audio-analysis/7G3lxTsMfSx4yarMkfgnTC,290573,4,JAZZ-Y.,The World Is Yours,Nas
0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,audio_features,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/tracks/3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/audio-analysis/3lB0GMiI5KxDbTOG8V3bOx,253347,4,INDIE.,waves - Tame Impala Remix,Miguel
0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,audio_features,6TEiFwaiHERpdfG6WnGed1,spotify:track:6TEiFwaiHERpdfG6WnGed1,https://api.spotify.com/v1/tracks/6TEiFwaiHERpdfG6WnGed1,https://api.spotify.com/v1/audio-analysis/6TEiFwaiHERpdfG6WnGed1,167987,4,INDIE.,New Flesh,Current Joys
0.633,0.537,6,-10.45,0,0.0544,0.0141,3.72e-05,0.103,0.889,117.907,audio_features,5uIRujGRZv5t4fGKkUTv4n,spotify:track:5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/tracks/5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/audio-analysis/5uIRujGRZv5t4fGKkUTv4n,197947,4,INDIE.,Feeling Lonely,boy pablo
0.677,0.423,9,-8.226,0,0.123,0.226,0.0,0.281,0.422,118.036,audio_features,5O06k1mpaajgmj5zPFrZF0,spotify:track:5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/tracks/5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/audio-analysis/5O06k1mpaajgmj5zPFrZF0,121404,4,INDIE.,Now You Know,Will Paquin
0.452,0.689,5,-6.194,0,0.0422,0.383,0.011,0.273,0.342,206.733,audio_features,0yzbBhKzbPnAwxT1UNKfHS,spotify:track:0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/tracks/0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/audio-analysis/0yzbBhKzbPnAwxT1UNKfHS,229121,4,INDIE.,Treat Her Better,Mac DeMarco
0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,audio_features,5773KSWFzg9kCc8yazjbSt,spotify:track:5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/tracks/5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/audio-analysis/5773KSWFzg9kCc8yazjbSt,184627,4,INDIE.,Deceptacon,Le Tigre
0.513,0.724,10,-5.945,0,0.0323,0.0658,0.0208,0.415,0.707,78.995,audio_features,2sRuOQ3fg1EGzzcuBgohJX,spotify:track:2sRuOQ3fg1EGzzcuBgohJX,https://api.spotify.com/v1/tracks/2sRuOQ3fg1EGzzcuBgohJX,https://api.spotify.com/v1/audio-analysis/2sRuOQ3fg1EGzzcuBgohJX,265500,4,INDIE.,Televendite di quadri,Post Nebbia
0.662,0.444,10,-10.417,0,0.0362,0.0245,0.000323,0.0947,0.477,94.985,audio_features,5HxZVwYpdu1SgUvl411nZ6,spotify:track:5HxZVwYpdu1SgUvl411nZ6,https://api.spotify.com/v1/tracks/5HxZVwYpdu1SgUvl411nZ6,https://api.spotify.com/v1/audio-analysis/5HxZVwYpdu1SgUvl411nZ6,244000,4,INDIE.,FORCE OF HABIT,Paris Texas
0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,audio_features,5FZxsHWIvUsmSK1IAvm2pp,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/tracks/5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/audio-analysis/5FZxsHWIvUsmSK1IAvm2pp,255627,4,ROCK.,Best of You,Foo Fighters
0.0844,0.953,5,-3.285,0,0.126,0.000779,0.000104,0.217,0.257,188.221,audio_features,4sWlbTpB8oa3zOyc0zSF6G,spotify:track:4sWlbTpB8oa3zOyc0zSF6G,https://api.spotify.com/v1/tracks/4sWlbTpB8oa3zOyc0zSF6G,https://api.spotify.com/v1/audio-analysis/4sWlbTpB8oa3zOyc0zSF6G,392733,4,ROCK.,Slide Away,Oasis
0.279,0.854,9,-5.351,0,0.0565,0.028,0.0,0.295,0.74,169.299,audio_features,4Is9kpnKPf5nKIX8A3fGdP,spotify:track:4Is9kpnKPf5nKIX8A3fGdP,https://api.spotify.com/v1/tracks/4Is9kpnKPf5nKIX8A3fGdP,https://api.spotify.com/v1/audio-analysis/4Is9kpnKPf5nKIX8A3fGdP,192600,4,ROCK.,Oil,The Kooks
0.238,0.919,0,-6.893,1,0.0816,0.0257,2.31e-05,0.0914,0.123,101.752,audio_features,6C0xucNj75wRdlejwWIEW1,spotify:track:6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/tracks/6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/audio-analysis/6C0xucNj75wRdlejwWIEW1,214373,4,ROCK.,Club Foot,Kasabian
0.597,0.911,1,-4.1,1,0.0644,4.22e-05,0.00137,0.096,0.314,127.993,audio_features,0cWKmpopb9Qm9mbJimBarQ,spotify:track:0cWKmpopb9Qm9mbJimBarQ,https://api.spotify.com/v1/tracks/0cWKmpopb9Qm9mbJimBarQ,https://api.spotify.com/v1/audio-analysis/0cWKmpopb9Qm9mbJimBarQ,214986,4,ROCK.,Greedy Soul,Liam Gallagher
0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,audio_features,5773KSWFzg9kCc8yazjbSt,spotify:track:5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/tracks/5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/audio-analysis/5773KSWFzg9kCc8yazjbSt,184627,4,ROCK.,Deceptacon,Le Tigre
0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,audio_features,7eqoqGkKwgOaWNNHx90uEZ,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/tracks/7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/audio-analysis/7eqoqGkKwgOaWNNHx90uEZ,307151,4,CHILL.,Nights,Frank Ocean
0.641,0.549,11,-8.303,0,0.1,0.522,0.000113,0.0764,0.345,99.913,audio_features,0oaSkcIh1fQz8tNtbsJueO,spotify:track:0oaSkcIh1fQz8tNtbsJueO,https://api.spotify.com/v1/tracks/0oaSkcIh1fQz8tNtbsJueO,https://api.spotify.com/v1/audio-analysis/0oaSkcIh1fQz8tNtbsJueO,185853,4,CHILL.,Border Line,King Krule
0.742,0.675,8,-11.219,1,0.0486,0.59,0.403,0.111,0.668,116.963,audio_features,10x9aHDFGk5aSbvAVlwJA3,spotify:track:10x9aHDFGk5aSbvAVlwJA3,https://api.spotify.com/v1/tracks/10x9aHDFGk5aSbvAVlwJA3,https://api.spotify.com/v1/audio-analysis/10x9aHDFGk5aSbvAVlwJA3,189773,4,CHILL.,Runnin',UMI
0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,audio_features,6FBzhcfgGacfXF3AmtfEaX,spotify:track:6FBzhcfgGacfXF3AmtfEaX,https://api.spotify.com/v1/tracks/6FBzhcfgGacfXF3AmtfEaX,https://api.spotify.com/v1/audio-analysis/6FBzhcfgGacfXF3AmtfEaX,129698,4,CHILL.,C U Girl,Steve Lacy
0.76,0.48,1,-8.535,0,0.226,0.585,0.0,0.717,0.877,90.01,audio_features,4LGg2NY9eHp0jF3L1WbCNl,spotify:track:4LGg2NY9eHp0jF3L1WbCNl,https://api.spotify.com/v1/tracks/4LGg2NY9eHp0jF3L1WbCNl,https://api.spotify.com/v1/audio-analysis/4LGg2NY9eHp0jF3L1WbCNl,139613,4,CHILL.,Wildin',Berhana
0.753,0.461,8,-8.857,0,0.0585,0.496,0.000372,0.116,0.897,103.919,audio_features,3xUoFmauSdcqntvnmc39XZ,spotify:track:3xUoFmauSdcqntvnmc39XZ,https://api.spotify.com/v1/tracks/3xUoFmauSdcqntvnmc39XZ,https://api.spotify.com/v1/audio-analysis/3xUoFmauSdcqntvnmc39XZ,179908,4,CHILL.,Wiggle,binki
0.817,0.577,6,-8.63,0,0.0659,0.117,0.000385,0.183,0.928,112.025,audio_features,3jLHo30ucbkYY9P7v8leKh,spotify:track:3jLHo30ucbkYY9P7v8leKh,https://api.spotify.com/v1/tracks/3jLHo30ucbkYY9P7v8leKh,https://api.spotify.com/v1/audio-analysis/3jLHo30ucbkYY9P7v8leKh,130714,4,CHILL.,Sea Sick,binki
0.729,0.874,2,-5.585,1,0.0324,0.134,0.00011,0.198,0.917,123.001,audio_features,4P04T22VRDMfG7Yk0SMMxP,spotify:track:4P04T22VRDMfG7Yk0SMMxP,https://api.spotify.com/v1/tracks/4P04T22VRDMfG7Yk0SMMxP,https://api.spotify.com/v1/audio-analysis/4P04T22VRDMfG7Yk0SMMxP,195535,4,CHILL.,Cabin Fever,Jaden
0.838,0.432,6,-14.398,1,0.228,0.562,0.363,0.0987,0.127,99.978,audio_features,4yMT3mbUsiukLDRqPfQ9rN,spotify:track:4yMT3mbUsiukLDRqPfQ9rN,https://api.spotify.com/v1/tracks/4yMT3mbUsiukLDRqPfQ9rN,https://api.spotify.com/v1/audio-analysis/4yMT3mbUsiukLDRqPfQ9rN,259200,4,CHILL.,Losing My Way,FKJ
0.78,0.714,0,-4.716,1,0.0943,0.121,1.34e-05,0.244,0.373,124.999,audio_features,5Q4UX8hxcaJEtAE9RtsmSY,spotify:track:5Q4UX8hxcaJEtAE9RtsmSY,https://api.spotify.com/v1/tracks/5Q4UX8hxcaJEtAE9RtsmSY,https://api.spotify.com/v1/audio-analysis/5Q4UX8hxcaJEtAE9RtsmSY,207328,4,CHILL.,FEEL SOMETHING DIFFERENT,Bea Miller
0.717,0.797,7,-5.393,1,0.0368,0.876,0.000694,0.0836,0.849,77.492,audio_features,3uwrczwM9A3xX63jlcRhIC,spotify:track:3uwrczwM9A3xX63jlcRhIC,https://api.spotify.com/v1/tracks/3uwrczwM9A3xX63jlcRhIC,https://api.spotify.com/v1/audio-analysis/3uwrczwM9A3xX63jlcRhIC,128129,4,CHILL.,Cleaner Air,Yeek
0.705,0.613,6,-9.317,0,0.158,0.218,1.81e-06,0.304,0.459,89.505,audio_features,3Dvq01GbtvhYKHUOaQkdwZ,spotify:track:3Dvq01GbtvhYKHUOaQkdwZ,https://api.spotify.com/v1/tracks/3Dvq01GbtvhYKHUOaQkdwZ,https://api.spotify.com/v1/audio-analysis/3Dvq01GbtvhYKHUOaQkdwZ,186811,4,CHILL.,earth,easy life
0.426,0.61,8,-7.734,0,0.0517,0.109,4.85e-05,0.141,0.224,178.721,audio_features,6LLjM3jv3G3ync9HSkBGSC,spotify:track:6LLjM3jv3G3ync9HSkBGSC,https://api.spotify.com/v1/tracks/6LLjM3jv3G3ync9HSkBGSC,https://api.spotify.com/v1/audio-analysis/6LLjM3jv3G3ync9HSkBGSC,276360,4,CHILL.,Lamb's Wool,Foster The People
0.665,0.57,9,-6.896,0,0.0341,0.066,2.98e-06,0.0822,0.396,95.983,audio_features,3wXw9CsZsxca37dbzHUx4g,spotify:track:3wXw9CsZsxca37dbzHUx4g,https://api.spotify.com/v1/tracks/3wXw9CsZsxca37dbzHUx4g,https://api.spotify.com/v1/audio-analysis/3wXw9CsZsxca37dbzHUx4g,194864,4,CHILL.,Rollin' Stone,Kyle Lux
0.752,0.65,4,-6.194,1,0.0334,0.264,1.38e-06,0.313,0.904,141.16,audio_features,0ClnfM4PI0wjlCVTJc9lP7,spotify:track:0ClnfM4PI0wjlCVTJc9lP7,https://api.spotify.com/v1/tracks/0ClnfM4PI0wjlCVTJc9lP7,https://api.spotify.com/v1/audio-analysis/0ClnfM4PI0wjlCVTJc9lP7,177000,4,CHILL.,24 / 7 / 365,Surfaces
0.633,0.537,6,-10.45,0,0.0544,0.0141,3.72e-05,0.103,0.889,117.907,audio_features,5uIRujGRZv5t4fGKkUTv4n,spotify:track:5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/tracks/5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/audio-analysis/5uIRujGRZv5t4fGKkUTv4n,197947,4,CHILL.,Feeling Lonely,boy pablo
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4,CHILL.,Passionfruit,Drake
0.776,0.574,5,-5.971,0,0.0351,0.431,7.9e-05,0.147,0.427,102.895,audio_features,2TmW432ldVYhIwAdJSlJEG,spotify:track:2TmW432ldVYhIwAdJSlJEG,https://api.spotify.com/v1/tracks/2TmW432ldVYhIwAdJSlJEG,https://api.spotify.com/v1/audio-analysis/2TmW432ldVYhIwAdJSlJEG,202090,4,CHILL.,have a great day,easy life
0.677,0.423,9,-8.226,0,0.123,0.226,0.0,0.281,0.422,118.036,audio_features,5O06k1mpaajgmj5zPFrZF0,spotify:track:5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/tracks/5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/audio-analysis/5O06k1mpaajgmj5zPFrZF0,121404,4,CHILL.,Now You Know,Will Paquin
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,CHILL.,Heat Waves,Glass Animals
0.7,0.513,0,-6.845,1,0.0698,0.684,5.23e-05,0.249,0.637,82.006,audio_features,3XHjBo5wg5tvVugQRXkP0P,spotify:track:3XHjBo5wg5tvVugQRXkP0P,https://api.spotify.com/v1/tracks/3XHjBo5wg5tvVugQRXkP0P,https://api.spotify.com/v1/audio-analysis/3XHjBo5wg5tvVugQRXkP0P,155845,4,CHILL.,daydreams,easy life
0.617,0.527,10,-7.381,0,0.229,0.591,0.0,0.104,0.453,79.867,audio_features,5W6CGaZLktffDggpidaIw4,spotify:track:5W6CGaZLktffDggpidaIw4,https://api.spotify.com/v1/tracks/5W6CGaZLktffDggpidaIw4,https://api.spotify.com/v1/audio-analysis/5W6CGaZLktffDggpidaIw4,213043,4,CHILL.,ALL DAY,Gaff
0.759,0.642,7,-8.16,0,0.0396,0.0365,0.00695,0.128,0.663,123.0,audio_features,3Jw0dL0zh6zAYHpXa0sbrA,spotify:track:3Jw0dL0zh6zAYHpXa0sbrA,https://api.spotify.com/v1/tracks/3Jw0dL0zh6zAYHpXa0sbrA,https://api.spotify.com/v1/audio-analysis/3Jw0dL0zh6zAYHpXa0sbrA,244862,4,CHILL.,Move Like This,Ric Wilson
0.779,0.605,5,-7.294,0,0.0315,0.758,0.665,0.0918,0.735,126.031,audio_features,2hhVlIZmGEGfNeVIYnMUAG,spotify:track:2hhVlIZmGEGfNeVIYnMUAG,https://api.spotify.com/v1/tracks/2hhVlIZmGEGfNeVIYnMUAG,https://api.spotify.com/v1/audio-analysis/2hhVlIZmGEGfNeVIYnMUAG,208947,4,CHILL.,The Sun,Myd
0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,audio_features,1BXastKgdI3AiFipVt69Fv,spotify:track:1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/tracks/1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/audio-analysis/1BXastKgdI3AiFipVt69Fv,279373,4,CHILL.,Jettin',Digable Planets
0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,audio_features,0XgpiStoxq1IJncYlPrvZ5,spotify:track:0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/tracks/0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/audio-analysis/0XgpiStoxq1IJncYlPrvZ5,296267,4,CHILL.,Runnin',The Pharcyde
0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,audio_features,2sXf2JdbB2GlNju00kw9WE,spotify:track:2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/tracks/2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/audio-analysis/2sXf2JdbB2GlNju00kw9WE,203123,4,CHILL.,Skate,Bruno Mars
0.452,0.689,5,-6.194,0,0.0422,0.383,0.011,0.273,0.342,206.733,audio_features,0yzbBhKzbPnAwxT1UNKfHS,spotify:track:0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/tracks/0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/audio-analysis/0yzbBhKzbPnAwxT1UNKfHS,229121,4,CHILL.,Treat Her Better,Mac DeMarco
0.729,0.286,2,-13.654,1,0.0355,0.283,0.0245,0.105,0.469,92.03,audio_features,556jf0hyPQuLNHuNWo12I5,spotify:track:556jf0hyPQuLNHuNWo12I5,https://api.spotify.com/v1/tracks/556jf0hyPQuLNHuNWo12I5,https://api.spotify.com/v1/audio-analysis/556jf0hyPQuLNHuNWo12I5,256000,4,CHILL.,Floated By,Peter Cat Recording Co.
0.52,0.652,3,-11.181,0,0.438,0.523,1.02e-05,0.159,0.611,92.654,audio_features,0VdmdhstW52cmau2xZ2b3z,spotify:track:0VdmdhstW52cmau2xZ2b3z,https://api.spotify.com/v1/tracks/0VdmdhstW52cmau2xZ2b3z,https://api.spotify.com/v1/audio-analysis/0VdmdhstW52cmau2xZ2b3z,232947,3,CHILL.,"What's Your World - 7"" Version",Gloria Ann Taylor
0.671,0.86,10,-6.887,0,0.0383,0.116,0.00139,0.15,0.79,97.037,audio_features,50kXxYwLylVddXQaiGMck1,spotify:track:50kXxYwLylVddXQaiGMck1,https://api.spotify.com/v1/tracks/50kXxYwLylVddXQaiGMck1,https://api.spotify.com/v1/audio-analysis/50kXxYwLylVddXQaiGMck1,156000,4,CHILL.,Woof,Still Woozy
0.64,0.853,2,-7.996,0,0.031,0.43,0.711,0.156,0.829,124.122,audio_features,4fjzDf54eBNOlW45mNe14U,spotify:track:4fjzDf54eBNOlW45mNe14U,https://api.spotify.com/v1/tracks/4fjzDf54eBNOlW45mNe14U,https://api.spotify.com/v1/audio-analysis/4fjzDf54eBNOlW45mNe14U,274760,4,CHILL.,Souk Eye,Gorillaz
0.836,0.812,2,-6.985,1,0.215,0.188,1.82e-06,0.0982,0.769,92.009,audio_features,7oFiFPltiQTBqVutyiSwvE,spotify:track:7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/tracks/7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/audio-analysis/7oFiFPltiQTBqVutyiSwvE,145707,4,CHILL.,Figaro,Madvillain
